0.999980+0.006079i , 0.999980+0.006079i , 0.999980+0.006079i , 0.999980+0.006079i , 0.999980+0.006079i , 
0.999980+0.006079i , 0.999980+0.006079i , 0.999980+0.006079i , 0.999980+0.006079i , 0.999980+0.006079i , 
0.999980+0.006079i , 0.999980+0.006079i , 0.999980+0.006079i , 0.999980+0.006079i , 0.999980+0.006079i , 
0.999980+0.006079i , 0.999980+0.006079i , 0.999980+0.006079i , 0.999980+0.006079i , 0.999980+0.006079i , 
0.999980+0.006079i , 0.999980+0.006079i , 0.999980+0.006079i , 0.999980+0.006079i , 0.999980+0.006079i , 

0.999091+0.042596i , 0.999091+0.042596i , 0.999091+0.042596i , 0.999091+0.042596i , 0.999091+0.042596i , 
0.999091+0.042596i , 0.999091+0.042596i , 0.999091+0.042596i , 0.999091+0.042596i , 0.999091+0.042596i , 
0.999091+0.042596i , 0.999091+0.042596i , 0.999091+0.042596i , 0.999091+0.042596i , 0.999091+0.042596i , 
0.999091+0.042596i , 0.999091+0.042596i , 0.999091+0.042596i , 0.999091+0.042596i , 0.999091+0.042596i , 
0.999091+0.042596i , 0.999091+0.042596i , 0.999091+0.042596i , 0.999091+0.042596i , 0.999091+0.042596i , 

0.996869+0.079056i , 0.996869+0.079056i , 0.996869+0.079056i , 0.996869+0.079056i , 0.996869+0.079056i , 
0.996869+0.079056i , 0.996869+0.079056i , 0.996869+0.079056i , 0.996869+0.079056i , 0.996869+0.079056i , 
0.996869+0.079056i , 0.996869+0.079056i , 0.996869+0.079056i , 0.996869+0.079056i , 0.996869+0.079056i , 
0.996869+0.079056i , 0.996869+0.079056i , 0.996869+0.079056i , 0.996869+0.079056i , 0.996869+0.079056i , 
0.996869+0.079056i , 0.996869+0.079056i , 0.996869+0.079056i , 0.996869+0.079056i , 0.996869+0.079056i , 

0.993317+0.115411i , 0.993317+0.115411i , 0.993317+0.115411i , 0.993317+0.115411i , 0.993317+0.115411i , 
0.993317+0.115411i , 0.993317+0.115411i , 0.993317+0.115411i , 0.993317+0.115411i , 0.993317+0.115411i , 
0.993317+0.115411i , 0.993317+0.115411i , 0.993317+0.115411i , 0.993317+0.115411i , 0.993317+0.115411i , 
0.993317+0.115411i , 0.993317+0.115411i , 0.993317+0.115411i , 0.993317+0.115411i , 0.993317+0.115411i , 
0.993317+0.115411i , 0.993317+0.115411i , 0.993317+0.115411i , 0.993317+0.115411i , 0.993317+0.115411i , 

0.988439+0.151612i , 0.988439+0.151612i , 0.988439+0.151612i , 0.988439+0.151612i , 0.988439+0.151612i , 
0.988439+0.151612i , 0.988439+0.151612i , 0.988439+0.151612i , 0.988439+0.151612i , 0.988439+0.151612i , 
0.988439+0.151612i , 0.988439+0.151612i , 0.988439+0.151612i , 0.988439+0.151612i , 0.988439+0.151612i , 
0.988439+0.151612i , 0.988439+0.151612i , 0.988439+0.151612i , 0.988439+0.151612i , 0.988439+0.151612i , 
0.988439+0.151612i , 0.988439+0.151612i , 0.988439+0.151612i , 0.988439+0.151612i , 0.988439+0.151612i , 

